"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"29","Wan'Dale Robinson",NYG,"at SEA","3 out of 5 stars","B","12.1"
"30","Xavier Worthy",KC,"vs. NO","3 out of 5 stars","B-","11.8"
"31","Rashid Shaheed",NO,"at KC","3 out of 5 stars","B-","11.4"
"32","Courtland Sutton",DEN,"vs. LV","4 out of 5 stars","C+","11.4"
"33","Jakobi Meyers",LV,"at DEN","3 out of 5 stars","C+","11.3"
"34","Josh Downs",IND,"at JAC","3 out of 5 stars","C+","11.2"
"35","Jerry Jeudy",CLE,"at WAS","3 out of 5 stars","C+","11.0"
"36","Darnell Mooney",ATL,"vs. TB","3 out of 5 stars","C+","11.0"
"37","Keenan Allen",CHI,"vs. CAR","3 out of 5 stars","C+","10.9"
"38","Xavier Legette",CAR,"at CHI","3 out of 5 stars","C","10.9"
"39","Tank Dell",HOU,"vs. BUF","3 out of 5 stars","C","10.5"
"40","Tutu Atwell",LAR,"vs. GB","3 out of 5 stars","C","10.5"
"41","Tyler Lockett",SEA,"vs. NYG","3 out of 5 stars","C","10.4"
"42","Jordan Addison",MIN,"vs. NYJ","3 out of 5 stars","C","10.4"
"43","Jordan Whittington",LAR,"vs. GB","3 out of 5 stars","C","10.3"
"44","Jauan Jennings",SF,"vs. ARI","4 out of 5 stars","C","10.3"
"45","Rome Odunze",CHI,"vs. CAR","3 out of 5 stars","C","10.2"
"46","Jaylen Waddle",MIA,"at NE","3 out of 5 stars","C","10.2"
"47","Tre Tucker",LV,"at DEN","3 out of 5 stars","C-","10.1"
"48","Michael Wilson",ARI,"at SF","3 out of 5 stars","C-","9.9"
"49","Allen Lazard",NYJ,"at MIN","3 out of 5 stars","C-","9.5"
"50","Jalen Tolbert",DAL,"at PIT","3 out of 5 stars","C-","9.4"
"51","Keon Coleman",BUF,"at HOU","4 out of 5 stars","C-","9.2"
"52","Ray-Ray McCloud III",ATL,"vs. TB","3 out of 5 stars","D+","8.9"
"53","Demarcus Robinson",LAR,"vs. GB","3 out of 5 stars","D+","8.9"
"54","Greg Dortch",ARI,"at SF","3 out of 5 stars","D+","8.8"
"55","Mike Williams",NYJ,"at MIN","3 out of 5 stars","D","8.5"
"56","Gabe Davis",JAC,"vs. IND","5 out of 5 stars","D","8.5"
"57","Andrei Iosivas",CIN,"vs. BAL","3 out of 5 stars","D","7.7"
"58","Rashod Bateman",BAL,"at CIN","4 out of 5 stars","D-","7.6"
"59","Curtis Samuel",BUF,"at HOU","4 out of 5 stars","D","7.6"
"60","DeMario Douglas",NE,"vs. MIA","3 out of 5 stars","D-","7.6"
"61","Ja'Lynn Polk",NE,"vs. MIA","3 out of 5 stars","D-","7.5"
"62","Alec Pierce",IND,"at JAC","3 out of 5 stars","D-","7.3"
"63","Darius Slayton",NYG,"at SEA","3 out of 5 stars","D","7.3"
"64","Justin Watson",KC,"vs. NO","3 out of 5 stars","F","6.8"
"65","Josh Reynolds",DEN,"vs. LV","4 out of 5 stars","F","6.7"
"66","Jonathan Mingo",CAR,"at CHI","3 out of 5 stars","F","6.5"
"67","Elijah Moore",CLE,"at WAS","3 out of 5 stars","F","6.3"
"68","Sterling Shepard",TB,"at ATL","3 out of 5 stars","F","6.1"
"69","Luke McCaffrey",WAS,"vs. CLE","2 out of 5 stars","F","5.9"
"70","Jalen Nailor",MIN,"vs. NYJ","3 out of 5 stars","F","5.8"
"71","JuJu Smith-Schuster",KC,"vs. NO","3 out of 5 stars","F","5.7"
"72","Olamide Zaccheaus",WAS,"vs. CLE","2 out of 5 stars","F","5.6"
"73","Bo Melton",GB,"at LAR","3 out of 5 stars","F","5.6"
"74","Calvin Austin III",PIT,"vs. DAL","3 out of 5 stars","F","5.4"
"75","Mack Hollins",BUF,"at HOU","4 out of 5 stars","F","5.4"
"76","Lil'Jordan Humphrey",DEN,"vs. LV","4 out of 5 stars","F","5.4"
"77","Tyler Johnson",LAR,"vs. GB","3 out of 5 stars","F","5.4"
"78","K.J. Osborn",NE,"vs. MIA","3 out of 5 stars","F","5.3"
"79","Van Jefferson",PIT,"vs. DAL","3 out of 5 stars","F","5.2"
"80","KaVontae Turpin",DAL,"at PIT","3 out of 5 stars","F","5.1"
"81","Adonai Mitchell",IND,"at JAC","3 out of 5 stars","F","5.0"
"82","Nelson Agholor",BAL,"at CIN","4 out of 5 stars","F","5.0"
"83","Jalin Hyatt",NYG,"at SEA","3 out of 5 stars","F","5.0"
"84","DJ Turner",LV,"at DEN","3 out of 5 stars","F","4.5"
"85","Jalen Brooks",DAL,"at PIT","3 out of 5 stars","F","4.5"
"86","Mason Tipton",NO,"at KC","3 out of 5 stars","F","4.5"
"87","Dyami Brown",WAS,"vs. CLE","2 out of 5 stars","F","4.0"
"88","Troy Franklin",DEN,"vs. LV","4 out of 5 stars","F","3.9"
"89","Brandon Powell",MIN,"vs. NYJ","3 out of 5 stars","F","3.5"
"90","Marquez Valdes-Scantling",BUF,"at HOU","4 out of 5 stars","F","3.4"
"91","Skyy Moore",KC,"vs. NO","3 out of 5 stars","F","2.6"
"92","Robert Woods",HOU,"vs. BUF","3 out of 5 stars","F","2.6"
"93","Malik Heath",GB,"at LAR","3 out of 5 stars","F","2.4"
"94","Marvin Mims Jr.",DEN,"vs. LV","4 out of 5 stars","F","2.4"
"95","Mecole Hardman Jr.",KC,"vs. NO","3 out of 5 stars","F","2.4"
"96","Cedric Tillman",CLE,"at WAS","3 out of 5 stars","F","2.3"
"97","Xavier Gipson",NYJ,"at MIN","3 out of 5 stars","F","2.2"
"98","Parker Washington",JAC,"vs. IND","5 out of 5 stars","F","2.0"
"99","Jake Bobo",SEA,"vs. NYG","3 out of 5 stars","F","1.9"
"100","Kameron Johnson",TB,"at ATL","3 out of 5 stars","F","1.9"
"101","Braxton Berrios",MIA,"at NE","3 out of 5 stars","F","1.9"
"102","Tyquan Thornton",NE,"vs. MIA","3 out of 5 stars","F","1.5"
"103","David Moore",CAR,"at CHI","3 out of 5 stars","F","1.5"
"104","Jermaine Burton",CIN,"vs. BAL","3 out of 5 stars","F","1.4"
"105","Malik Washington",MIA,"at NE","3 out of 5 stars","F","1.3"
"106","Cedrick Wilson Jr.",NO,"at KC","3 out of 5 stars","F","1.2"
"107","Kayshon Boutte",NE,"vs. MIA","3 out of 5 stars","F","1.2"
"108","DeAndre Carter",CHI,"vs. CAR","3 out of 5 stars","F","1.2"
"109","Scotty Miller",PIT,"vs. DAL","3 out of 5 stars","F","1.2"
"110","Laviska Shenault Jr.",SEA,"vs. NYG","3 out of 5 stars","F","1.2"
"111","Devin Duvernay",JAC,"vs. IND","5 out of 5 stars","F","1.1"
"112","Ashton Dulin",IND,"at JAC","3 out of 5 stars","F","1.1"
"113","Xavier Hutchinson",HOU,"vs. BUF","3 out of 5 stars","F","1.1"
"114","Trent Sherfield Sr.",MIN,"vs. NYJ","3 out of 5 stars","F","1.0"
"115","Kendrick Bourne",NE,"vs. MIA","3 out of 5 stars","F","1.0"
"116","Bryce Ford-Wheaton",NYG,"at SEA","3 out of 5 stars","F","1.0"
"117","Ihmir Smith-Marsette",NYG,"at SEA","3 out of 5 stars","F","0.9"
"118","KhaDarel Hodge",ATL,"vs. TB","3 out of 5 stars","F","0.9"
"119","Bub Means",NO,"at KC","3 out of 5 stars","F","0.6"
"120","Jalen Coker",CAR,"at CHI","3 out of 5 stars","F","0.6"
"121","Trenton Irwin",CIN,"vs. BAL","3 out of 5 stars","F","0.5"
"122","Chris Moore",ARI,"at SF","3 out of 5 stars","F","0.3"
"123","Tylan Wallace",BAL,"at CIN","4 out of 5 stars","F","0.3"
"124","Jacob Cowing",SF,"vs. ARI","4 out of 5 stars","F","0.3"
"125","Charlie Jones",CIN,"vs. BAL","3 out of 5 stars","F","0.3"
"126","Christian Watson",GB,"at LAR","3 out of 5 stars","F","0.2"
"127","Malachi Corley",NYJ,"at MIN","3 out of 5 stars","F","0.2"
"128","James Proche II",CLE,"at WAS","3 out of 5 stars","F","0.1"
"129","Chris Conley",SF,"vs. ARI","4 out of 5 stars","F","0.1"
"130","Ryan Flournoy",DAL,"at PIT","3 out of 5 stars","F","0.1"
"131","Odell Beckham Jr.",MIA,"at NE","3 out of 5 stars","F","0.1"
"132","Dee Eskridge",MIA,"at NE","3 out of 5 stars","F","0.1"
"133","Erik Ezukanma",MIA,"at NE","3 out of 5 stars","F","0.0"
"134","Zach Pascal",ARI,"at SF","3 out of 5 stars","F","0.0"
"135","Devontez Walker",BAL,"at CIN","4 out of 5 stars","F","0.0"
"136","Deonte Harty",BAL,"at CIN","4 out of 5 stars","F","0.0"
"137","Tim Jones",JAC,"vs. IND","5 out of 5 stars","F","0.0"
"138","Javon Baker",NE,"vs. MIA","3 out of 5 stars","F","0.0"
"139","Tyler Scott",CHI,"vs. CAR","3 out of 5 stars","F","0.0"
"140","Roman Wilson",PIT,"vs. DAL","3 out of 5 stars","F","0.0"
"141","Cody Thompson",TB,"at ATL","3 out of 5 stars","F","0.0"
"142","Isaiah Hodgins",NYG,"at SEA","3 out of 5 stars","F","0.0"
"143","John Metchie III",HOU,"vs. BUF","3 out of 5 stars","F","0.0"
"144","Devaughn Vele",DEN,"vs. LV","4 out of 5 stars","F","0.0"
"145","Steven Sims Jr.",HOU,"vs. BUF","3 out of 5 stars","F","0.0"
"146","Dareke Young",SEA,"vs. NYG","3 out of 5 stars","F","0.0"
"147","Ronnie Bell",SF,"vs. ARI","4 out of 5 stars","F","0.0"
"148","Casey Washington",ATL,"vs. TB","3 out of 5 stars","F","0.0"
"149","Irvin Charles",NYJ,"at MIN","3 out of 5 stars","F","0.0"
"150","Xavier Smith",LAR,"vs. GB","3 out of 5 stars","F","0.0"
"151","A.T. Perry",FA,"-","-","F","0.0"
"152","Jamari Thrash",CLE,"at WAS","3 out of 5 stars","F","0.0"
"153","Xavier Weaver",ARI,"at SF","3 out of 5 stars","F","0.0"
"154","Velus Jones Jr.",CHI,"vs. CAR","3 out of 5 stars","F","0.0"
"155","Trishton Jackson",MIN,"vs. NYJ","3 out of 5 stars","F","0.0"
