RK,PLAYER NAME,TEAM,OPP,MATCHUP ,START/SIT
1,CeeDee Lamb,DAL,at PIT,3 out of 5 stars,A+
2,Nico Collins,HOU,vs. BUF,3 out of 5 stars,A+
3,Ja'Marr Chase,CIN,vs. BAL,3 out of 5 stars,A+
4,Justin Jefferson,MIN,vs. NYJ,3 out of 5 stars,A+
5,DK Metcalf,SEA,vs. NYG,3 out of 5 stars,A+
6,Jayden Reed,GB,at LAR,3 out of 5 stars,A
7,Chris Godwin,TB,at ATL,3 out of 5 stars,A
8,Marvin Harrison Jr.,ARI,at SF,3 out of 5 stars,A
9,Diontae Johnson,CAR,at CHI,3 out of 5 stars,A
10,Deebo Samuel Sr.,SF,vs. ARI,4 out of 5 stars,A
11,Drake London,ATL,vs. TB,3 out of 5 stars,A
12,Stefon Diggs,HOU,vs. BUF,3 out of 5 stars,A
13,Chris Olave,NO,at KC,3 out of 5 stars,A
14,Garrett Wilson,NYJ,at MIN,3 out of 5 stars,A
15,Mike Evans,TB,at ATL,3 out of 5 stars,A
16,Michael Pittman Jr.,IND,at JAC,3 out of 5 stars,A-
17,Amari Cooper,CLE,at WAS,3 out of 5 stars,A-
18,George Pickens,PIT,vs. DAL,3 out of 5 stars,A-
19,Brandon Aiyuk,SF,vs. ARI,4 out of 5 stars,A-
20,Zay Flowers,BAL,at CIN,4 out of 5 stars,A-
21,DJ Moore,CHI,vs. CAR,3 out of 5 stars,A-
22,Terry McLaurin,WAS,vs. CLE,2 out of 5 stars,A-
23,Brian Thomas Jr.,JAC,vs. IND,5 out of 5 stars,B+
24,Jaxon Smith-Njigba,SEA,vs. NYG,3 out of 5 stars,B+
25,Tee Higgins,CIN,vs. BAL,3 out of 5 stars,B+
26,Dontayvion Wicks,GB,at LAR,3 out of 5 stars,B
27,Tyreek Hill,MIA,at NE,3 out of 5 stars,B
28,Christian Kirk,JAC,vs. IND,5 out of 5 stars,B
29,Wan'Dale Robinson,NYG,at SEA,3 out of 5 stars,B
30,Xavier Worthy,KC,vs. NO,3 out of 5 stars,B-
31,Rashid Shaheed,NO,at KC,3 out of 5 stars,B-
32,Courtland Sutton,DEN,vs. LV,4 out of 5 stars,C+
33,Jakobi Meyers,LV,at DEN,3 out of 5 stars,C+
34,Josh Downs,IND,at JAC,3 out of 5 stars,C+
35,Jerry Jeudy,CLE,at WAS,3 out of 5 stars,C+
36,Darnell Mooney,ATL,vs. TB,3 out of 5 stars,C+
